10@diameter	,0.0697749
10@female	,0.055555556
10@height	,0.023924796
10@infant	,0.024425287
10@length	,0.08930559
10@male	,0.07614943
10@rings	,0.15613027
10@shell_weight	,0.04368967
10@shucked_weight	,0.06909029
10@viscera_weight	,0.03415421
10@whole_weight	,0.15542044
11@diameter	,0.052804124
11@female	,0.048371647
11@height	,0.01813458
11@infant	,0.014846743
11@length	,0.067317985
11@male	,0.048850574
11@rings	,0.112068966
11@shell_weight	,0.03626867
11@shucked_weight	,0.057060834
11@viscera_weight	,0.028363992
11@whole_weight	,0.12915087
12@diameter	,0.030124519
12@female	,0.03256705
12@height	,0.010625
12@infant	,0.004789272
12@length	,0.03840516
12@male	,0.027777778
12@rings	,0.0651341
12@shell_weight	,0.02116762
12@shucked_weight	,0.030880982
12@viscera_weight	,0.015711684
12@whole_weight	,0.072369486
13@diameter	,0.022772985
13@female	,0.021072797
13@height	,0.008029214
13@infant	,0.006704981
13@length	,0.028716475
13@male	,0.022030652
13@rings	,0.049808428
13@shell_weight	,0.015747365
13@shucked_weight	,0.02114488
13@viscera_weight	,0.011546457
13@whole_weight	,0.052790463
14@diameter	,0.009913794
14@female	,0.009578544
14@height	,0.003570403
14@infant	,0.002394636
14@length	,0.012538314
14@male	,0.009578544
14@rings	,0.021551725
14@shell_weight	,0.0073019643
14@shucked_weight	,0.0093498565
14@viscera_weight	,0.005105843
14@whole_weight	,0.023712883
15@diameter	,0.011266764
15@female	,0.01197318
15@height	,0.0039990433
15@infant	,0.002394636
15@length	,0.014212164
15@male	,0.010057472
15@rings	,0.024425287
15@shell_weight	,0.00807112
15@shucked_weight	,0.010030889
15@viscera_weight	,0.0058045965
15@whole_weight	,0.026244732
16@diameter	,0.008251916
16@female	,0.007183908
16@height	,0.0030052676
16@infant	,0.0014367816
16@length	,0.0104310345
16@male	,0.009099617
16@rings	,0.017720306
16@shell_weight	,0.0064887456
16@shucked_weight	,0.0073819435
16@viscera_weight	,0.0041762455
16@whole_weight	,0.019670974
17@diameter	,0.008271073
17@female	,0.007662835
17@height	,0.0030124523
17@infant	,0.0019157088
17@length	,0.010481322
17@male	,0.008141763
17@rings	,0.017720306
17@shell_weight	,0.0068005277
17@shucked_weight	,0.007762931
17@viscera_weight	,0.004138649
17@whole_weight	,0.020692531
18@diameter	,0.004346265
18@female	,0.004310345
18@height	,0.0015828545
18@infant	,9.578544E-4
18@length	,0.00552203
18@male	,0.0038314175
18@rings	,0.009099617
18@shell_weight	,0.004012931
18@shucked_weight	,0.004302442
18@viscera_weight	,0.0022957379
18@whole_weight	,0.011596744
19@diameter	,0.003570402
19@female	,0.0038314175
19@height	,0.0012643677
19@infant	,0.0
19@length	,0.0045090998
19@male	,0.0038314175
19@rings	,0.007662835
19@shell_weight	,0.0026221264
19@shucked_weight	,0.0030886016
19@viscera_weight	,0.0017203066
19@whole_weight	,0.008261016
20@diameter	,0.0023922413
20@female	,0.0014367816
20@height	,8.668582E-4
20@infant	,4.789272E-4
20@length	,0.0029861112
20@male	,0.0028735632
20@rings	,0.004789272
20@shell_weight	,0.0021135055
20@shucked_weight	,0.0023953544
20@viscera_weight	,0.0013829023
20@whole_weight	,0.0066017723
21@diameter	,0.0016020114
21@female	,0.0014367816
21@height	,5.699233E-4
21@infant	,0.0
21@length	,0.0020282567
21@male	,0.0019157088
21@rings	,0.0033524905
21@shell_weight	,0.0015804598
21@shucked_weight	,0.0014262451
21@viscera_weight	,8.295019E-4
21@whole_weight	,0.004175527
22@diameter	,8.644636E-4
22@female	,9.578544E-4
22@height	,3.376437E-4
22@infant	,0.0
22@length	,0.0011039273
22@male	,9.578544E-4
22@rings	,0.0019157088
22@shell_weight	,6.489464E-4
22@shucked_weight	,7.0905173E-4
22@viscera_weight	,3.498563E-4
22@whole_weight	,0.0019650385
23@diameter	,9.0756704E-4
23@female	,0.0014367816
23@height	,3.400383E-4
23@infant	,0.0
23@length	,0.0011494253
23@male	,4.789272E-4
23@rings	,0.0019157088
23@shell_weight	,6.9444446E-4
23@shucked_weight	,7.1168586E-4
23@viscera_weight	,4.4133142E-4
23@whole_weight	,0.002053161
24@diameter	,2.586207E-4
24@female	,4.789272E-4
24@height	,1.0296935E-4
24@infant	,0.0
24@length	,3.3524903E-4
24@male	,0.0
24@rings	,4.789272E-4
24@shell_weight	,3.400383E-4
24@shucked_weight	,3.1968392E-4
24@viscera_weight	,1.4966475E-4
24@whole_weight	,9.4731804E-4
25@diameter	,2.3467433E-4
25@female	,4.789272E-4
25@height	,1.0296935E-4
25@infant	,0.0
25@length	,3.0890803E-4
25@male	,0.0
25@rings	,4.789272E-4
25@shell_weight	,2.4425288E-4
25@shucked_weight	,2.0426245E-4
25@viscera_weight	,1.0943486E-4
25@whole_weight	,6.7337166E-4
27@diameter	,2.2270116E-4
27@female	,4.789272E-4
27@height	,8.62069E-5
27@infant	,0.0
27@length	,2.6340998E-4
27@male	,0.0
27@rings	,4.789272E-4
27@shell_weight	,2.5143678E-4
27@shucked_weight	,1.5541188E-4
27@viscera_weight	,9.818008E-5
27@whole_weight	,5.8069924E-4
2@diameter	,4.789272E-5
2@female	,0.0
2@height	,1.197318E-5
2@infant	,4.789272E-4
2@length	,7.183908E-5
2@male	,0.0
2@rings	,4.789272E-4
2@shell_weight	,2.3946359E-6
2@shucked_weight	,2.1551723E-6
2@viscera_weight	,1.915709E-6
2@whole_weight	,7.183908E-6
3@diameter	,4.3342912E-4
3@female	,0.0
3@height	,1.3888889E-4
3@infant	,0.0028735632
3@length	,5.938697E-4
3@male	,4.789272E-4
3@rings	,0.0033524905
3@shell_weight	,3.0651343E-5
3@shucked_weight	,3.927203E-5
3@viscera_weight	,2.2030652E-5
3@whole_weight	,9.5545984E-5
4@diameter	,0.0020977012
4@female	,0.0
4@height	,6.96839E-4
4@infant	,0.01197318
4@length	,0.0028376433
4@male	,9.578544E-4
4@rings	,0.012931035
4@shell_weight	,2.1910919E-4
4@shucked_weight	,3.117816E-4
